Survived,Pclass,Sex,Ticket,Fare,Embarked
0,3,male,A/5 21171,7.25,S
1,1,female,PC 17599,71.2833,C
1,3,female,STON/O2. 3101282,7.925,S
1,1,female,113803,53.1,S
0,3,male,373450,8.05,S
0,3,male,330877,8.4583,Q
0,1,male,17463,51.8625,S
0,3,male,349909,21.075,S
1,3,female,347742,11.1333,S
1,2,female,237736,30.0708,C
1,3,female,PP 9549,16.7,S
1,1,female,113783,26.55,S
0,3,male,A/5. 2151,8.05,S
0,3,male,347082,31.275,S
0,3,female,350406,7.8542,S
1,2,female,248706,16,S
0,3,male,382652,29.125,Q
1,2,male,244373,13,S
0,3,female,345763,18,S
1,3,female,2649,7.225,C
0,2,male,239865,26,S
1,2,male,248698,13,S
1,3,female,330923,8.0292,Q
1,1,male,113788,35.5,S
0,3,female,349909,21.075,S
1,3,female,347077,31.3875,S
0,3,male,2631,7.225,C
0,1,male,19950,263,S
1,3,female,330959,7.8792,Q
0,3,male,349216,7.8958,S
0,1,male,PC 17601,27.7208,C
1,1,female,PC 17569,146.5208,C
1,3,female,335677,7.75,Q
0,2,male,C.A. 24579,10.5,S
0,1,male,PC 17604,82.1708,C
0,1,male,113789,52,S
1,3,male,2677,7.2292,C
0,3,male,A./5. 2152,8.05,S
0,3,female,345764,18,S
1,3,female,2651,11.2417,C
0,3,female,7546,9.475,S
0,2,female,11668,21,S
0,3,male,349253,7.8958,C
1,2,female,SC/Paris 2123,41.5792,C
1,3,female,330958,7.8792,Q
0,3,male,S.C./A.4. 23567,8.05,S
0,3,male,370371,15.5,Q
1,3,female,14311,7.75,Q
0,3,male,2662,21.6792,C
0,3,female,349237,17.8,S
0,3,male,3101295,39.6875,S
0,3,male,A/4. 39886,7.8,S
1,1,female,PC 17572,76.7292,C
1,2,female,2926,26,S
0,1,male,113509,61.9792,C
1,1,male,19947,35.5,S
1,2,female,C.A. 31026,10.5,S
0,3,male,2697,7.2292,C
1,2,female,C.A. 34651,27.75,S
0,3,male,CA 2144,46.9,S
0,3,male,2669,7.2292,C
0,1,male,36973,83.475,S
0,3,male,347088,27.9,S
0,1,male,PC 17605,27.7208,C
1,3,male,2661,15.2458,C
1,2,female,C.A. 29395,10.5,S
0,3,male,S.P. 3464,8.1583,S
1,3,female,3101281,7.925,S
0,3,male,315151,8.6625,S
0,2,male,C.A. 33111,10.5,S
0,3,female,CA 2144,46.9,S
0,2,male,S.O.C. 14879,73.5,S
0,3,male,2680,14.4542,C
1,3,male,1601,56.4958,S
0,3,male,348123,7.65,S
0,3,male,349208,7.8958,S
0,3,male,374746,8.05,S
1,2,male,248738,29,S
1,3,female,364516,12.475,S
0,3,male,345767,9,S
1,3,male,345779,9.5,S
1,3,female,330932,7.7875,Q
0,1,male,113059,47.1,S
1,2,female,SO/C 14885,10.5,S
1,3,female,3101278,15.85,S
0,3,male,W./C. 6608,34.375,S
0,3,male,SOTON/OQ 392086,8.05,S
1,1,female,19950,263,S
0,3,male,343275,8.05,S
0,3,male,343276,8.05,S
0,3,male,347466,7.8542,S
0,1,male,W.E.P. 5734,61.175,S
0,3,male,C.A. 2315,20.575,S
0,3,male,364500,7.25,S
0,3,male,374910,8.05,S
0,1,male,PC 17754,34.6542,C
1,1,male,PC 17759,63.3583,C
1,2,female,231919,23,S
0,2,male,244367,26,S
0,3,female,349245,7.8958,S
0,3,male,349215,7.8958,S
0,1,male,35281,77.2875,S
0,3,male,7540,8.6542,S
0,3,male,3101276,7.925,S
0,3,male,349207,7.8958,S
1,3,female,343120,7.65,S
1,3,male,312991,7.775,S
0,3,male,349249,7.8958,S
1,3,female,371110,24.15,Q
0,1,male,110465,52,S
0,3,female,2665,14.4542,C
0,3,male,324669,8.05,S
0,3,female,4136,9.825,S
0,3,female,2627,14.4583,C
0,3,male,STON/O 2. 3101294,7.925,S
0,3,male,370369,7.75,Q
0,2,male,11668,21,S
0,1,male,PC 17558,247.5208,C
0,3,female,347082,31.275,S
0,2,male,S.O.C. 14879,73.5,S
0,3,male,A4. 54510,8.05,S
0,2,male,237736,30.0708,C
1,2,female,27267,13,S
0,1,male,35281,77.2875,S
1,3,male,2651,11.2417,C
0,3,male,370372,7.75,Q
1,3,male,C 17369,7.1417,S
